dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
80,80087,Bernay-en-Ponthieu,240.0,22100.0,Faible,0.0285979800284836,0
17,17402,Saint-Sigismond-de-Clermont,160.0,23670.0,Moyen,0.0181648220517865,3
70,70201,Delain,196.0,22450.0,Faible,0.0231091007790335,0
67,67181,Handschuheim,277.0,30180.0,Élevé,0.0249835131082169,2
50,50233,Hautteville-Bocage,156.0,22250.0,Faible,0.0185048030518243,0
24,24423,Sainte-Innocence,311.0,21610.0,Faible,0.0376045011580167,0
02,02065,Bellicourt,574.0,21080.0,Très faible,0.0704956554321271,0
01,01069,Certines,1505.0,25570.0,Élevé,0.1606121649993954,3
62,62808,Teneur,260.0,19760.0,Très faible,0.0331621281647984,0
08,08087,Brognon,135.0,23620.0,Moyen,0.0153507659042785,3
01,01065,Buellas,1851.0,26810.0,Élevé,0.1893090133954564,3
91,91339,Linas,7032.0,26350.0,Élevé,0.7307859332747956,3
33,33067,Bourg,2283.0,21100.0,Très faible,0.280222348950582,0
81,81152,Mailhoc,315.0,23060.0,Moyen,0.0364508098332364,3
64,64296,Lacadée,146.0,23950.0,Moyen,0.0164288541154907,3
05,05039,Chauffayer,730.0,20740.0,Très faible,0.0905444970366325,0
62,62007,Acq,797.0,27260.0,Élevé,0.0802266257423607,3
28,28215,Louville-la-Chenard,250.0,25430.0,Élevé,0.0268052290993514,3
40,40163,Lüe,597.0,21170.0,Très faible,0.0731277837458949,0
2B,2B057,Canale-di-Verde,307.0,21180.0,Très faible,0.037594069433954,0
31,31077,Le Born,637.0,23720.0,Moyen,0.0722045223945692,3
33,33105,Castelviel,208.0,19780.0,Très faible,0.0265147898266494,0
85,85076,Cugand,3685.0,24350.0,Moyen,0.409375803874571,3
63,63246,Murat-le-Quaire,487.0,22630.0,Faible,0.0571047989769276,0
25,25267,Gennes,680.0,25670.0,Élevé,0.0723251862543464,3
59,59641,Warhem,2022.0,24720.0,Moyen,0.2219470818555362,3
14,14191,Courseulles-sur-Mer,4137.0,23280.0,Moyen,0.4754579796797846,3
66,66226,Villemolaque,1323.0,21200.0,Très faible,0.1619147682889749,0
82,82186,Valence,5256.0,20040.0,Très faible,0.6651095192725586,0
07,07183,Pradons,516.0,21670.0,Faible,0.0622810491351367,0
80,80037,Aubvillers,162.0,21710.0,Faible,0.0195301232292895,0
2A,2A360,Zigliara,128.0,25850.0,Élevé,0.0135315592625749,3
60,60582,Saint-Léger-aux-Bois,750.0,25350.0,Élevé,0.0806307743921315,3
63,63453,Vertaizon,3358.0,23210.0,Moyen,0.3867715483531854,3
49,49292,Saint-Lambert-du-Lattay,3464.0,23390.0,Moyen,0.3967453519926321,3
78,78265,Garancières,2512.0,31350.0,Élevé,0.2160294623318925,2
16,16304,Saint-Brice,967.0,28910.0,Élevé,0.0916192513978865,2
54,54534,Trondes,521.0,22370.0,Faible,0.0615771766197696,0
80,80009,Ailly-le-Haut-Clocher,1016.0,23330.0,Moyen,0.116584948125144,3
31,31446,Ramonville-Saint-Agne,14949.0,24600.0,Moyen,1.6473243073009367,3
95,95436,Mours,1667.0,28640.0,Élevé,0.1595548326927616,2
31,31368,Montclar-Lauragais,245.0,25080.0,Élevé,0.0265765198226495,3
50,50457,Sainte-Colombe,184.0,21330.0,Faible,0.0224330103466513,0
27,27106,Bournainville-Faverolles,486.0,22120.0,Faible,0.0578760654484388,0
