dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
28,28257,Mondonville-Saint-Jean,90.0,,,
17,17376,Saint-Ouen-d'Aunis,2083.0,24450.0,Moyen,0.23065893366618376
56,56107,Larmor-Plage,8318.0,29380.0,Élevé,0.7740815313985436
34,34054,Cassagnoles,110.0,13740.0,Très faible,0.016403975708275814
39,39291,Lemuy,242.0,21660.0,Faible,0.02921800442500973
88,88441,Sans-Vallois,128.0,24440.0,Moyen,0.014178541241558675
52,52103,Champigny-sous-Varennes,126.0,20720.0,Très faible,0.01563726191358918
57,57076,Beyren-lès-Sierck,504.0,34150.0,Élevé,0.03828464239733735
51,51592,Vandières,298.0,26150.0,Élevé,0.031182681638007467
45,45277,Saint-Florent,448.0,22290.0,Faible,0.05307775916237215
51,51152,Chigny-les-Roses,530.0,28860.0,Élevé,0.05031030521858088
23,23148,Nouziers,248.0,19490.0,Très faible,0.03187160560033623
62,62114,Bermicourt,169.0,25250.0,Élevé,0.018229384027858665
10,10198,Lirey,110.0,23730.0,Moyen,0.012464655580254771
19,19281,Veix,71.0,,,
71,71131,Ciel,881.0,23660.0,Moyen,0.10005163337762994
51,51646,Virginy,82.0,,,
18,18248,Senneçay,459.0,25160.0,Élevé,0.04965866301922547
25,25275,Glère,185.0,27140.0,Élevé,0.018701822829998896
64,64407,Mouguerre,5291.0,25560.0,Élevé,0.5648401460600248
71,71330,Neuvy-Grandchamp,749.0,21560.0,Faible,0.09069943144006602
16,16103,Combiers,124.0,19710.0,Très faible,0.01583800986806109
77,77128,Couilly-Pont-aux-Dames,2100.0,28840.0,Élevé,0.19949327975645742
40,40251,Saint-Barthélemy,430.0,23300.0,Moyen,0.04938829854197062
10,10162,Fresnoy-le-Château,300.0,24620.0,Moyen,0.03303737765023381
67,67139,Flexbourg,483.0,26300.0,Élevé,0.0502813401565785
62,62530,Lottinghen,537.0,21160.0,Très faible,0.06579750803620231
17,17247,Mornac-sur-Seudre,865.0,22800.0,Faible,0.10090129909493231
95,95023,Arronville,624.0,30040.0,Élevé,0.05659371619355155
85,85024,Bois-de-Céné,2159.0,22120.0,Faible,0.2571078709941966
40,40042,Biarrotte,345.0,22820.0,Moyen,0.04021913572146627
57,57457,Menskirch,138.0,24910.0,Élevé,0.015053730627358161
37,37149,Marray,482.0,23780.0,Moyen,0.054531461135540873
26,26204,Montlaur-en-Diois,145.0,19030.0,Très faible,0.01887371326601546
32,32044,Béraut,292.0,25600.0,Élevé,0.031130558865542796
31,31282,Launaguet,9260.0,23290.0,Moyen,1.0639032173577845
88,88445,Saulcy-sur-Meurthe,2319.0,22090.0,Faible,0.27641111318708395
32,32070,Cahuzac-sur-Adour,202.0,19800.0,Très faible,0.0257354575891103
89,89483,Voisines,514.0,24690.0,Moyen,0.05647505981331906
91,91111,Briis-sous-Forges,3380.0,30610.0,Élevé,0.29964284945759045
34,34016,Aumelas,557.0,24750.0,Élevé,0.06107982356256546
17,17044,Berneuil,1162.0,22090.0,Faible,0.1385035418384612
54,54318,Liverdun,5694.0,24000.0,Moyen,0.6397047222427427
41,41246,Seur,479.0,25870.0,Élevé,0.05060328968856283
55,55467,Sampigny,697.0,21390.0,Faible,0.08482730283681968
68,68227,Muntzenheim,1283.0,26350.0,Élevé,0.1333330990317922
38,38075,Chapareillan,2997.0,26050.0,Élevé,0.3146800542265537
04,04214,Tartonne,127.0,18600.0,Très faible,0.016726534653693354
61,61145,Domfront,4155.0,21460.0,Faible,0.5046351892526175
70,70052,Bassigney,118.0,20390.0,Très faible,0.01478401141138555
60,60404,Mogneville,1490.0,24160.0,Moyen,0.16654265390083467
50,50285,Magneville,312.0,22820.0,Moyen,0.03637208795680428
64,64090,Baliracq-Maumusson,119.0,23600.0,Moyen,0.013539947659243937
46,46175,Lissac-et-Mouret,930.0,24220.0,Moyen,0.10374941069900248
17,17301,Romazières,77.0,,,
22,22283,Saint-Clet,872.0,21360.0,Faible,0.10621918410459114
61,61116,Condé-sur-Huisne,1983.0,22280.0,Faible,0.2350112568626817
23,23091,Gioux,171.0,18220.0,Très faible,0.022754493856598532
02,02229,Courtrizy-et-Fussigny,75.0,,,
02,02573,Orgeval,55.0,,,
02,02657,Rougeries,218.0,19800.0,Très faible,0.02777390967537646
16,16312,Saint-Cybardeaux,822.0,22700.0,Faible,0.09618006568424317
81,81200,Palleville,444.0,21450.0,Faible,0.0539408319752053
49,49369,Vernoil-le-Fourrier,1283.0,19290.0,Très faible,0.1658040089719251
71,71126,Chevagny-les-Chevrières,597.0,32450.0,Élevé,0.04898726865506397
61,61044,Berjou,437.0,21360.0,Faible,0.0532314030432412
33,33063,Bordeaux,261804.0,24870.0,Élevé,28.596430971232103
37,37084,Couesmes,549.0,21300.0,Faible,0.06699231684380029
31,31292,Lescuns,74.0,,,
67,67364,Osthouse,934.0,27370.0,Élevé,0.0936488490654465
71,71293,Ménetreuil,410.0,21980.0,Faible,0.049031253965802726
